,year,estado,tipo,municipalidad,hombres,mujeres,total,localidad,full_location,location,point,latitude,longitude,altitude
0,1940,Chihuahua,Villa,Aldama,2812.0,1437.0,1375.0,Aldama ,"Aldama , Aldama, Chihuahua","Aldama, Chihuahua, México","(28.8377727, -105.9160119, 0.0)",28.8377727,-105.9160119,0.0
1,1940,Chihuahua,Rancho,Aldama,38.0,21.0,17.0,Agua Blanca 1 ,"Agua Blanca 1 , Aldama, Chihuahua",,,,,
2,1940,Chihuahua,Rancho,Aldama,0.0,0.0,0.0,Agua Blanca 2 ,"Agua Blanca 2 , Aldama, Chihuahua",,,,,
3,1940,Chihuahua,Rancho,Aldama,6.0,3.0,3.0,Agua De Terrazas ,"Agua De Terrazas , Aldama, Chihuahua",,,,,
4,1940,Chihuahua,Rancho,Aldama,18.0,9.0,9.0,Agua Dulce ,"Agua Dulce , Aldama, Chihuahua",,,,,
5,1940,Chihuahua,Rancho,Aldama,16.0,8.0,8.0,Aguirreño ,"Aguirreño , Aldama, Chihuahua",,,,,
6,1940,Chihuahua,Rancho,Aldama,21.0,13.0,8.0,El Alamo De Chorreras ,"El Alamo De Chorreras , Aldama, Chihuahua",,,,,
7,1940,Chihuahua,Rancho,Aldama,0.0,0.0,0.0,Alamo De A Pena Blanca ,"Alamo De A Pena Blanca , Aldama, Chihuahua",,,,,
8,1940,Chihuahua,Rancho,Aldama,70.0,32.0,38.0,Alamos De Carrillo ,"Alamos De Carrillo , Aldama, Chihuahua",,,,,
9,1940,Chihuahua,Rancho,Aldama,13.0,9.0,4.0,Los Alamos De As Damas ,"Los Alamos De As Damas , Aldama, Chihuahua",,,,,
10,1940,Chihuahua,Sección F.C,Aldama,22.0,9.0,13.0,Aldama ,"Aldama , Aldama, Chihuahua","Aldama, Chihuahua, México","(28.8377727, -105.9160119, 0.0)",28.8377727,-105.9160119,0.0
11,1940,Chihuahua,Rancho,Aldama,11.0,1.0,10.0,Los Angeles ,"Los Angeles , Aldama, Chihuahua",,,,,
12,1940,Chihuahua,Rancho,Aldama,18.0,9.0,9.0,Las Animas ,"Las Animas , Aldama, Chihuahua","Las Animas, Aldama, Chihuahua, México","(29.0854855, -105.9672588, 0.0)",29.0854855,-105.9672588,0.0
13,1940,Chihuahua,Rancho,Aldama,130.0,76.0,54.0,El Arbolito ,"El Arbolito , Aldama, Chihuahua",,,,,
14,1940,Chihuahua,Rancho,Aldama,23.0,11.0,12.0,El Bajío ,"El Bajío , Aldama, Chihuahua",,,,,
15,1940,Chihuahua,Rancho,Aldama,30.0,17.0,13.0,Barrenos ,"Barrenos , Aldama, Chihuahua",,,,,
16,1940,Chihuahua,Ejido,Aldama,12.0,11.0,1.0,Bernardino ,"Bernardino , Aldama, Chihuahua",,,,,
17,1940,Chihuahua,Rancho,Aldama,6.0,4.0,2.0,La Boquillas ,"La Boquillas , Aldama, Chihuahua",,,,,
18,1940,Chihuahua,Rancho,Aldama,119.0,73.0,46.0,El Bosque ,"El Bosque , Aldama, Chihuahua",,,,,
19,1940,Chihuahua,Rancho,Aldama,17.0,9.0,8.0,Buena Vista ,"Buena Vista , Aldama, Chihuahua",,,,,
20,1940,Chihuahua,Rancho,Aldama,20.0,8.0,12.0,La Buñiga ,"La Buñiga , Aldama, Chihuahua",,,,,
21,1940,Chihuahua,Rancho,Aldama,8.0,5.0,3.0,Calderón ,"Calderón , Aldama, Chihuahua",,,,,
22,1940,Chihuahua,Rancho,Aldama,188.0,103.0,85.0,Calera La ,"Calera La , Aldama, Chihuahua","Caigra, Aldama, Chihuahua, México","(28.8550764, -105.937635, 0.0)",28.8550764,-105.937635,0.0
23,1940,Chihuahua,Rancho,Aldama,0.0,0.0,0.0,Carrasco ,"Carrasco , Aldama, Chihuahua",,,,,
24,1940,Chihuahua,Rancho,Aldama,4.0,3.0,1.0,El Carrizo ,"El Carrizo , Aldama, Chihuahua","El Carrizo, Aldama, Chihuahua, México","(29.0168644, -105.948482, 0.0)",29.0168644,-105.948482,0.0
25,1940,Chihuahua,Rancho,Aldama,16.0,9.0,7.0,Casas Blancas ,"Casas Blancas , Aldama, Chihuahua",,,,,
26,1940,Chihuahua,Rancho,Aldama,36.0,16.0,20.0,El Centenario ,"El Centenario , Aldama, Chihuahua",,,,,
27,1940,Chihuahua,Rancho,Aldama,13.0,6.0,7.0,Cerritos Los ,"Cerritos Los , Aldama, Chihuahua",,,,,
28,1940,Chihuahua,Rancho,Aldama,0.0,0.0,0.0,Cerros Prietos ,"Cerros Prietos , Aldama, Chihuahua","Cerros Prietos, Aldama, Chihuahua, México","(29.4834636, -105.8787982, 0.0)",29.4834636,-105.8787982,0.0
29,1940,Chihuahua,Rancho,Aldama,18.0,11.0,7.0,Ciénega Grande ,"Ciénega Grande , Aldama, Chihuahua",,,,,
30,1940,Chihuahua,Rancho,Aldama,10.0,6.0,4.0,Colonia La ,"Colonia La , Aldama, Chihuahua",,,,,
31,1940,Chihuahua,Rancho,Aldama,5.0,4.0,1.0,La Cruz ,"La Cruz , Aldama, Chihuahua","Calle Sor Juan Ines De La Cruz, Maclovio Herrera, Maclovio Herrera (Estación Falomir), Aldama, Chihuahua, México","(29.0671959, -105.1436408, 0.0)",29.0671959,-105.1436408,0.0
32,1940,Chihuahua,Rancho,Aldama,11.0,5.0,6.0,Cuarenta y Ocho ,"Cuarenta y Ocho , Aldama, Chihuahua","El Cuarenta y Ocho, Aldama, Chihuahua, México","(29.3557922, -105.89311, 0.0)",29.3557922,-105.89311,0.0
33,1940,Chihuahua,Rancho,Aldama,2.0,2.0,0.0,El Cuervo ,"El Cuervo , Aldama, Chihuahua","El Cuervo, Aldama, Chihuahua, México","(29.285997, -105.9859409, 0.0)",29.285997,-105.9859409,0.0
34,1940,Chihuahua,Rancho,Aldama,8.0,5.0,3.0,Charco Prieto ,"Charco Prieto , Aldama, Chihuahua","Charco Prieto, Aldama, Chihuahua, México","(28.98227555, -106.14495974341085, 0.0)",28.98227555,-106.14495974341085,0.0
35,1940,Chihuahua,Rancho,Aldama,7.0,3.0,4.0,Chavez ,"Chavez , Aldama, Chihuahua",,,,,
36,1940,Chihuahua,Ejido,Aldama,128.0,78.0,50.0,Las Chorrenas ,"Las Chorrenas , Aldama, Chihuahua",,,,,
37,1940,Chihuahua,Mineral,Aldama,0.0,0.0,0.0,Damas Las ,"Damas Las , Aldama, Chihuahua","Sierra Las Damas, Aldama, Chihuahua, México","(29.4540223, -105.7898281, 0.0)",29.4540223,-105.7898281,0.0
38,1940,Chihuahua,Rancho,Aldama,3.0,1.0,2.0,El Delirio ,"El Delirio , Aldama, Chihuahua",,,,,
39,1940,Chihuahua,Rancho,Aldama,0.0,0.0,0.0,El Divisudero ,"El Divisudero , Aldama, Chihuahua",,,,,
40,1940,Chihuahua,Hacienda,Aldama,90.0,44.0,46.0,Dolores ,"Dolores , Aldama, Chihuahua","Puerto Dolores, Aldama, Chihuahua, México","(28.7007022, -105.9046538, 0.0)",28.7007022,-105.9046538,0.0
41,1940,Chihuahua,Rancho,Aldama,0.0,0.0,0.0,Don Aurelio ,"Don Aurelio , Aldama, Chihuahua",,,,,
42,1940,Chihuahua,Rancho,Aldama,6.0,4.0,2.0,Don Cuco Ramírez ,"Don Cuco Ramírez , Aldama, Chihuahua",,,,,
43,1940,Chihuahua,Sección F.C,Aldama,0.0,0.0,0.0,La Encantada ,"La Encantada , Aldama, Chihuahua",,,,,
44,1940,Chihuahua,Colonia Agrícola,Aldama,48.0,31.0,17.0,El Esfuerzo ,"El Esfuerzo , Aldama, Chihuahua",,,,,
45,1940,Chihuahua,Rancho,Aldama,3.0,1.0,2.0,La Esperanza Cepedeña ,"La Esperanza Cepedeña , Aldama, Chihuahua",,,,,
46,1940,Chihuahua,Rancho,Aldama,69.0,39.0,30.0,La Esperanza De La Laguna ,"La Esperanza De La Laguna , Aldama, Chihuahua",,,,,
47,1940,Chihuahua,Rancho,Aldama,11.0,7.0,4.0,La Esperanza ,"La Esperanza , Aldama, Chihuahua","La Esperanza, Aldama, Chihuahua, México","(28.9827393, -105.9543691, 0.0)",28.9827393,-105.9543691,0.0
48,1940,Chihuahua,Rancho,Aldama,8.0,5.0,3.0,Gamareño ,"Gamareño , Aldama, Chihuahua",,,,,
49,1940,Chihuahua,Rancho,Aldama,40.0,23.0,17.0,El Gateado ,"El Gateado , Aldama, Chihuahua",,,,,
50,1940,Chihuahua,Rancho,Aldama,8.0,5.0,3.0,Gatunal El ,"Gatunal El , Aldama, Chihuahua","El Gatuñal, Aldama, Chihuahua, México","(28.5755268, -105.5699896, 0.0)",28.5755268,-105.5699896,0.0
51,1940,Chihuahua,Rancho,Aldama,16.0,9.0,7.0,La Gloria ,"La Gloria , Aldama, Chihuahua",,,,,
52,1940,Chihuahua,Colonia Agrícola,Aldama,34.0,17.0,17.0,Hormigas ,"Hormigas , Aldama, Chihuahua","Hormigas, Aldama, Chihuahua, México","(29.238063, -105.7904605, 0.0)",29.238063,-105.7904605,0.0
53,1940,Chihuahua,Rancho,Aldama,13.0,5.0,8.0,Hotel Salud ,"Hotel Salud , Aldama, Chihuahua",,,,,
